sex,culture,PRACTICE_TRIAL_Response,INTRO_COMP_3,INTRO_COMP_3_fail_once,INTRO_COMP_3_fail_twice,INTRO_COMP_4,EXPLAIN_PART1_COMP_4,EXPLAIN_PART1_COMP_4_fail_once,EXPLAIN_PART2_COMP_8,EXPLAIN_PART2_COMP_8_fail_once,EXPLAIN_PART2_COMP_8_fail_twice,EXPLAIN_PART2_COMP_8_fail_thrice,EXPLAIN_PART2_COMP_9,EXPLAIN_PART2_COMP_9_fail_once,EXPLAIN_PART3_COMP_2,QUESTION_1,QUESTION_2,trial_1_setup,trial_1_meep_color,trial_1_meep_ethnicity,trial_2_setup,trial_2_meep_color,trial_2_meep_ethnicity,ppt_culture_color,group_side,first_hand_side,bead_side_demo,duration,trial,share,intra,age,age_group,pid
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,LEFT,LEFT,LEFT,20M -13S,1,0,0,10.59589,9-10,16
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,LEFT,LEFT,LEFT,20M -13S,2,1,1,10.59589,9-10,16
FEMALE,BAYAKA,1,fail,fail,pass,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,LEFT,RIGHT,1H -24M -45S,1,0,0,8.59589000000005,7-8,58
FEMALE,BAYAKA,1,fail,fail,pass,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,LEFT,RIGHT,1H -24M -45S,2,1,1,8.59589000000005,7-8,58
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,RED,BAYAKA,LEFT,BLUE,BILO,RED,LEFT,LEFT,RIGHT,18M -14S,1,0,1,27,27-36,45
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,RED,BAYAKA,LEFT,BLUE,BILO,RED,LEFT,LEFT,RIGHT,18M -14S,2,0,0,27,27-36,45
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,LEFT,RIGHT,18M -28S,1,1,0,10,9-10,160
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,LEFT,RIGHT,18M -28S,2,0,1,10,9-10,160
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BILO,LEFT,BLUE,BAYAKA,BLUE,RIGHT,LEFT,RIGHT,18M -17S,1,0,0,46.09589,37-46,32
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,RED,BILO,LEFT,BLUE,BAYAKA,BLUE,RIGHT,LEFT,RIGHT,18M -17S,2,1,1,46.09589,37-46,32
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,RED,BILO,RIGHT,BLUE,BAYAKA,BLUE,LEFT,RIGHT,LEFT,18M -43S,1,1,0,17.09589,17-26,36
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,RED,BILO,RIGHT,BLUE,BAYAKA,BLUE,LEFT,RIGHT,LEFT,18M -43S,2,1,1,17.09589,17-26,36
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,NO,LEFT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,RIGHT,RIGHT,17M 28S,1,1,0,46.09589,37-46,10
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,NO,LEFT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,RIGHT,RIGHT,RIGHT,17M 28S,2,0,1,46.09589,37-46,10
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,NO,RIGHT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,LEFT,RIGHT,RIGHT,16M -27S,1,1,1,10,9-10,169
FEMALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,NO,RIGHT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,LEFT,RIGHT,RIGHT,16M -27S,2,1,0,10,9-10,169
MALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,RIGHT,LEFT,LEFT,18M 50S,1,0,1,53,47-56,165
MALE,BAYAKA,1,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,RIGHT,LEFT,LEFT,18M 50S,2,1,0,53,47-56,165
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,RIGHT,RIGHT,LEFT,15M -13S,1,1,1,42,37-46,166
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,RIGHT,RIGHT,LEFT,15M -13S,2,0,0,42,37-46,166
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,LEFT,RIGHT,LEFT,17M 37S,1,0,0,39.175342,37-46,17
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BILO,RIGHT,RED,BAYAKA,RED,LEFT,RIGHT,LEFT,17M 37S,2,1,1,39.175342,37-46,17
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,LEFT,RED,BAYAKA,RED,RIGHT,LEFT,LEFT,1H -45M 39S,1,0,0,37.0453419999998,37-46,46
FEMALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,RIGHT,BLUE,BILO,LEFT,RED,BAYAKA,RED,RIGHT,LEFT,LEFT,1H -45M 39S,2,0,1,37.0453419999998,37-46,46
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BILO,LEFT,RED,BAYAKA,RED,RIGHT,RIGHT,LEFT,17M -2S,1,0,0,17.09589,17-26,25
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BILO,LEFT,RED,BAYAKA,RED,RIGHT,RIGHT,LEFT,17M -2S,2,0,1,17.09589,17-26,25
MALE,BAYAKA,0,pass,NA,NA,pass,pass,NA,pass,NA,NA,NA,pass,NA,pass,YES,YES,LEFT,BLUE,BAYAKA,LEFT,RED,BILO,BLUE,RIGHT,RIGHT,RIGHT,18M -8S,1,1,1,13.09589,13-14,176
