PID,Ethnicity,share,Age,Gender,Village,Condition
776B,BaYaka,YES,17.09589,F,Village2,inter
28D8,BaYaka,NO,46.09589,M,Village2,inter
NEW157,BaYaka,NO,10,F,Village2,inter
NEW145,BaYaka,NO,55,F,Village2,inter
NEW148,BaYaka,YES,53,M,Village2,inter
NEW149,BaYaka,YES,42,F,Village2,inter
3D0C,BaYaka,YES,39.175342,M,Village2,inter
44D9,BaYaka,YES,36.09589,F,Village2,inter
AA57,BaYaka,YES,37.045342,F,Village2,inter
5C76,BaYaka,YES,17.09589,M,Village2,inter
UXCN,BaYaka,YES,13.09589,M,Village2,inter
A2E5,BaYaka,NO,7.59589,M,Village2,inter
6A0F,BaYaka,YES,13.175342,M,Village2,inter
BA1C,BaYaka,YES,53.59589,M,Village2,inter
NEW115,BaYaka,YES,6,M,Village2,inter
902E,BaYaka,NO,8,F,Village2,inter
S26M,BaYaka,YES,7.09589,M,Village2,inter
7C33,BaYaka,YES,7.59589,M,Village2,inter
XEYX,BaYaka,YES,59.59589,F,Village2,inter
58FB,BaYaka,YES,38.59589,F,Village2,inter
D556,BaYaka,YES,33,F,Village2,inter
155C,BaYaka,NO,14,F,Village2,inter
244F,BaYaka,NO,7.59589,F,Village2,inter
N2II,BaYaka,YES,50,M,Village2,inter
NEW153,BaYaka,NO,7,M,Village2,inter
BF66,BaYaka,YES,15.59589,M,Village2,inter
2DB3,BaYaka,YES,10.59589,M,Village2,inter
51B3,BaYaka,YES,39.175342,M,Village2,inter
NEW121,BaYaka,YES,27,M,Village2,inter
A325,BaYaka,NO,9.175342,M,Village2,inter
73C5,BaYaka,NO,9.59589,F,Village2,inter
N985,BaYaka,YES,9.59589,F,Village2,inter
BBCF,BaYaka,YES,6.59589,M,Village2,inter
CEEA,BaYaka,YES,5.59589,F,Village2,inter
VJMH,Bandongo,NO,8.09589,F,Village2,inter
95C2,Bandongo,YES,39.09589,M,Village2,inter
1EC8,Bandongo,NO,10.8,F,Village2,inter
5B11,Bandongo,NO,10.271233,F,Village2,inter
4C5A,Bandongo,NO,13,F,Village2,inter
6D27,Bandongo,NO,13.09589,M,Village2,inter
XEBD,Bandongo,NO,7.09589,F,Village2,inter
FXDD,Bandongo,NO,9.09589,F,Village2,inter
TOV6,Bandongo,NO,13.09589,M,Village2,inter
94BA,Bandongo,NO,7.8,F,Village2,inter
DC32,Bandongo,NO,9.8,M,Village2,inter
6T2R,Bandongo,NO,11.09589,F,Village2,inter
I86W,Bandongo,YES,25.09589,M,Village2,inter
BC81,Bandongo,YES,38.671233,M,Village2,inter
B057,BaYaka,YES,15.775342,F,Village2,inter
0DD8,Bandongo,YES,37.819178,M,Village2,inter
ECC8,Bandongo,YES,38.8,M,Village2,inter
NEW090,Bandongo,YES,33,M,Village2,inter
B83D,Bandongo,YES,31.863014,M,Village2,inter
6FAC,Bandongo,YES,37.632877,M,Village2,inter
9DFF,Bandongo,YES,36.09589,F,Village2,inter
4B48,Bandongo,YES,34.8,F,Village2,inter
T742,Bandongo,YES,43.09589,F,Village2,inter
6B40,Bandongo,YES,40.128767,M,Village2,inter
31B8,Bandongo,NO,6.8,F,Village2,inter
ACE9,Bandongo,NO,10.8,F,Village2,inter
DAE1,Bandongo,NO,10.8,M,Village2,inter
6B9A,Bandongo,NO,13.8,M,Village2,inter
PSIM,Bandongo,YES,5.09589,F,Village2,inter
6C20,Bandongo,NO_RESPONSE,5.59589,M,Village2,inter
HL2I,Bandongo,NO,11.09589,M,Village2,inter
38A9,Bandongo,NO,11.8,M,Village2,inter
074F,Bandongo,NO,14.59589,M,Village2,inter
CF16,Bandongo,NO,8.59589,F,Village2,inter
A19E,BaYaka,NO,10,F,Village2,inter
NEW150,BaYaka,YES,11,M,Village2,inter
NEW152,BaYaka,NO,8,F,Village2,inter
C768,Bandongo,YES,66.09589,F,Village2,inter
0A08,Bandongo,YES,5.8,F,Village2,inter
EEA8,Bandongo,NO,11.606011,F,Village2,inter
B0CC,Bandongo,YES,11.606011,F,Village2,inter
B95D,Bandongo,YES,14.8,M,Village2,inter
586F,Bandongo,YES,36.09589,M,Village2,inter
895C,Bandongo,YES,33.59589,F,Village2,inter
F87F,Bandongo,YES,12.59589,M,Village2,inter
FF6B,Bandongo,NO,14.09589,M,Village2,inter
QK1Z,Bandongo,NO,5.09589,F,Village2,inter
5NQI,Bandongo,NO,10.09589,M,Village2,inter
01F4,Bandongo,NO,9.8,M,Village2,inter
11WE,Bandongo,NO,22.09589,M,Village2,inter
D7BE,Bandongo,NO,22.8,M,Village2,inter
2MPN,Bandongo,NO,29.09589,F,Village2,inter
1C36,Bandongo,YES,22.49863,M,Village2,inter
QB34,Bandongo,NO,32.09589,F,Village2,inter
D131,BaYaka,YES,8,M,Village1,inter
D138,BaYaka,YES,10,M,Village1,inter
D132,BaYaka,YES,6,M,Village1,inter
D216,BaYaka,YES,10,M,Village1,inter
D136,BaYaka,YES,42,M,Village1,inter
D139,BaYaka,YES,7,F,Village1,inter
D218,BaYaka,YES,20,M,Village1,inter
D217,BaYaka,YES,18,M,Village1,inter
D220,BaYaka,YES,14,M,Village1,inter
D003,Bandongo,NO,14,M,Village1,inter
D034,Bandongo,YES,5,F,Village1,inter
D228,BaYaka,YES,9,F,Village1,inter
D033,Bandongo,YES,9,M,Village1,inter
D081,Bandongo,NO,5,M,Village1,inter
D224,BaYaka,YES,7,F,Village1,inter
D008,Bandongo,YES,5,M,Village1,inter
D045,Bandongo,NO,10,M,Village1,inter
D067,Bandongo,YES,12,M,Village1,inter
D219,BaYaka,YES,13,M,Village1,inter
D240,Bandongo,NO_RESPONSE,5,F,Village1,inter
D222,BaYaka,YES,13,M,Village1,inter
D069,Bandongo,YES,15,F,Village1,inter
D068,Bandongo,NO,8,F,Village1,inter
D246,BaYaka,YES,7,F,Village1,inter
D106,Bandongo,NO,7,M,Village1,inter
D105,Bandongo,NO,8,M,Village1,inter
D223,BaYaka,YES,12,M,Village1,inter
D099,Bandongo,YES,10,F,Village1,inter
D248,Bandongo,YES,11,F,Village1,inter
D226,BaYaka,YES,9,F,Village1,inter
D006,Bandongo,YES,17,F,Village1,inter
D244,BaYaka,YES,14,M,Village1,inter
D022,Bandongo,YES,20,M,Village1,inter
D083,Bandongo,NO,9,F,Village1,inter
D249,BaYaka,YES,11,M,Village1,inter
D016,Bandongo,NO,7,F,Village1,inter
D236,BaYaka,NO,12,M,Village1,inter
D251,Bandongo,YES,12,F,Village1,inter
D255,Bandongo,YES,11,F,Village1,inter
D237,BaYaka,NO,13,M,Village1,inter
D254,Bandongo,NO,11,F,Village1,inter
D253,Bandongo,NO,12,M,Village1,inter
D227,BaYaka,YES,12,F,Village1,inter
D252,Bandongo,YES,6,M,Village1,inter
D037_DJ,Bandongo,YES,12,F,Village1,inter
D256,BaYaka,NO,9,M,Village1,inter
D257,Bandongo,NO,9,F,Village1,inter
D095,Bandongo,NO,9,M,Village1,inter
D231,BaYaka,YES,9,F,Village1,inter
D258,Bandongo,NO,7,M,Village1,inter
D038,Bandongo,NO,8,F,Village1,inter
D238,BaYaka,NO,10,M,Village1,inter
D012,Bandongo,NOT_SURE,5,F,Village1,inter
D100,Bandongo,NO,7,M,Village1,inter
D230,BaYaka,NO,8,F,Village1,inter
D199,Bandongo,YES,17,M,Village1,inter
D010,Bandongo,YES,33,M,Village1,inter
D233,BaYaka,YES,6,M,Village1,inter
D096,Bandongo,YES,33,M,Village1,inter
D031,Bandongo,YES,17,M,Village1,inter
D235,BaYaka,YES,11,M,Village1,inter
D259,Bandongo,YES,22,M,Village1,inter
D054,Bandongo,YES,27,M,Village1,inter
D242_DJ,BaYaka,YES,10,M,Village1,inter
D039,Bandongo,YES,23,F,Village1,inter
D036,Bandongo,NO,49,F,Village1,inter
D101,Bandongo,YES,37,M,Village1,inter
D129,BaYaka,YES,33,M,Village1,inter
D092,Bandongo,YES,50,M,Village1,inter
D260,Bandongo,YES,34,F,Village1,inter
D170,BaYaka,YES,58,M,Village1,inter
D029,Bandongo,YES,46,F,Village1,inter
D146,BaYaka,YES,35,M,Village1,inter
D025,Bandongo,YES,26,F,Village1,inter
D024,Bandongo,YES,18,F,Village1,inter
D102,Bandongo,YES,37,F,Village1,inter
D261,BaYaka,NO,35,M,Village1,inter
D262,BaYaka,YES,53,M,Village1,inter
D180,BaYaka,YES,50,M,Village1,inter
D159,BaYaka,YES,33,F,Village1,inter
D263,BaYaka,NO,35,F,Village1,inter
D141,BaYaka,YES,27,F,Village1,inter
D174,BaYaka,YES,47,F,Village1,inter
D076,Bandongo,YES,38,M,Village1,inter
D268,Bandongo,YES,37,M,Village1,inter
D264,BaYaka,NO,47,F,Village1,inter
D269,Bandongo,NO,28,F,Village1,inter
D265,BaYaka,YES,41,F,Village1,inter
D266,BaYaka,YES,50,F,Village1,inter
D267,BaYaka,YES,39,M,Village1,inter
D270,BaYaka,YES,39,F,Village1,inter
D171,BaYaka,YES,74,M,Village1,inter
D272,BaYaka,YES,68,F,Village1,inter
D271,BaYaka,YES,40,F,Village1,inter
D273,BaYaka,NO,36,F,Village1,inter
D243,BaYaka,YES,7,M,Village1,inter
